case_id,method,mode,edema_dice,wt_dice,tc_dice,et_dice,mean_fg_dice,abs_edema_volume_error,edema_fp,edema_fn,enhancing_volume_change,necrosis_volume_change,wt_volume_change,n_edited_voxels,mean_abs_gate,perturbation_rms,cosine_d_learned_d_initial,scale,runtime_s,tuned_alpha_probe,tuned_alpha_output,tuned_logit_bias
BraTS2021_01180,E_random_01,random_gated,0.8216313398941041,0.9206096844433966,0.7928690521998296,0.8696447629213757,0.8280483850051032,2230,770,3000,-25.936279296875,-19.4156494140625,84.4892578125,26380,0.13542725145816803,0.017393900081515312,0.9990473985671997,0.6630221009254456,2.2142132078297436,0.5,-0.5,0.5
BraTS2021_01180,E_random_02,random_gated,0.8194021325210303,0.919678157730485,0.7922310247894299,0.8697370421038612,0.8271233998047737,2358,718,3076,-1.0302734375,-9.5421142578125,-16.5146484375,26380,0.13542725145816803,0.007755293045192957,0.9990473985671997,0.6630221009254456,2.2151380418799818,0.5,-0.5,0.5
BraTS2021_01180,E_random_03,random_gated,0.8155806684299998,0.9172548745545052,0.7922791767866646,0.8696974304396082,0.8258524252187575,2571,632,3203,-6.706298828125,-15.1585693359375,-267.3505859375,26380,0.13542725145816803,0.038414549082517624,0.9990473985671997,0.6630221009254456,2.2219359159935266,0.5,-0.5,0.5
BraTS2021_01180,E_random_04,random_gated,0.8180385037979181,0.9189921807124521,0.7926549349658344,0.8704883227178185,0.8270605871605237,2433,688,3121,13.731689453125,-7.4969482421875,-83.5966796875,26380,0.13542725145816803,0.018506094813346863,0.9990473985671997,0.6630221009254456,2.231946458108723,0.5,-0.5,0.5
BraTS2021_00165,A_baseline,baseline,0.9424720831729361,0.9682724898594387,0.9449321628093676,0.8683680322368422,0.9185907594063819,77,335,412,0.0,0.0,0.0,0,0.0,0.0,0.9990473985671997,0.6630221009254456,1.1418287500273436,0.5,-0.5,0.5
BraTS2021_00165,B_global_probe,global_probe,0.9437155500349789,0.9696021457309065,0.9443668993022046,0.8679879072896608,0.9186901188756148,181,272,453,1.7857666015625,5.0947265625,-125.134765625,0,0.0,0.16589242219924927,0.9990473985671997,0.6630221009254456,1.1597632500343025,0.5,-0.5,0.5
BraTS2021_00165,C_global_output,global_output,0.9362991309894473,0.962379402865809,0.9420989143547606,0.8696241110739261,0.9160073854727112,519,140,659,-62.5460205078125,-31.02862548828125,-628.0263671875,0,0.0,0.9489872455596924,0.9990473985671997,0.6630221009254456,1.138106708182022,0.5,-0.5,0.5
BraTS2021_00165,D_logit_bias,logit_bias,0.941329060807247,0.9668544912164585,0.9477477477478523,0.8723835246459406,0.9204867777336799,45,407,362,-19.3258056640625,-3.2767333984375,164.7841796875,0,0.0,0.25,0.9990473985671997,0.6630221009254456,1.1358532910235226,0.5,-0.5,0.5
BraTS2021_00165,F_proposed,proposed,0.9426961014561275,0.9686128923388634,0.9460431654677337,0.8701211305522539,0.9196201324920383,288,222,510,-11.8179931640625,-2.2503662109375,-251.0478515625,18685,0.13076287508010864,0.08266200870275497,0.9990473985671997,0.6630221009254456,1.0417138328775764,0.5,-0.5,0.5
BraTS2021_00165,E_random_00,random_gated,0.9420534890870411,0.9678743827331922,0.945120734384464,0.8683680322368422,0.9185140852361159,50,352,402,-1.609130859375,0.741943359375,35.5458984375,18685,0.13076287508010864,0.02318553254008293,0.9990473985671997,0.6630221009254456,2.214850417105481,0.5,-0.5,0.5
BraTS2021_00165,E_random_01,random_gated,0.9424686995929469,0.9679316466933157,0.9462537462538536,0.8704140020199582,0.9197121492889195,43,353,396,-7.4857177734375,-0.93792724609375,37.7666015625,18685,0.13076287508010864,0.014913992956280708,0.9990473985671997,0.6630221009254456,2.221819542115554,0.5,-0.5,0.5
BraTS2021_00165,E_random_02,random_gated,0.9427624990370983,0.9684304135171362,0.9447216124527146,0.8683680322368422,0.9186173812422184,81,331,412,-0.52197265625,-0.2838134765625,-6.6630859375,18685,0.13076287508010864,0.006649595685303211,0.9990473985671997,0.6630221009254456,2.202074166154489,0.5,-0.5,0.5
BraTS2021_00165,E_random_03,random_gated,0.9439528023599255,0.9693683622135443,0.9452875399362115,0.8692436974794311,0.9194946799251893,180,271,451,-2.8175048828125,-0.58282470703125,-114.0244140625,18685,0.13076287508010864,0.032937660813331604,0.9990473985671997,0.6630221009254456,2.2221227921545506,0.5,-0.5,0.5
BraTS2021_00165,E_random_04,random_gated,0.9426938523324508,0.9686577965818801,0.9439680957129731,0.8672032193163407,0.9179550557872549,114,314,428,3.505615234375,-0.00653076171875,-35.791015625,18685,0.13076287508010864,0.015867620706558228,0.9990473985671997,0.6630221009254456,2.2146884999237955,0.5,-0.5,0.5
BraTS2021_01552,A_baseline,baseline,0.9315488129536007,0.9585933331786962,0.9584395716471453,0.9072862129145863,0.9324248658384442,679,599,1278,0.0,0.0,0.0,0,0.0,0.0,0.9990473985671997,0.6630221009254456,2.2146230831276625,0.5,-0.5,0.5
BraTS2021_01552,B_global_probe,global_probe,0.9283737407284666,0.9560544821624755,0.9582272032603425,0.9065124904549945,0.9310378114812679,1001,470,1471,-5.15625,34.91015625,-418.013671875,0,0.0,0.16589240729808807,0.9990473985671997,0.6630221009254456,2.241571875056252,0.5,-0.5,0.5
BraTS2021_01552,C_global_output,global_output,0.9046411556785368,0.9320007743684222,0.9513598326360151,0.8914144255655547,0.9158051379600355,2072,205,2277,-569.14013671875,-254.82373046875,-2877.47265625,0,0.0,0.9489871859550476,0.9990473985671997,0.6630221009254456,2.2187806251458824,0.5,-0.5,0.5
BraTS2021_01552,D_logit_bias,logit_bias,0.9330030159414286,0.9596835399369933,0.9586025977350063,0.9070966326643555,0.9329007487802635,248,809,1057,-74.2646484375,-31.4619140625,494.50390625,0,0.0,0.2499999850988388,0.9990473985671997,0.6630221009254456,2.2125929170288146,0.5,-0.5,0.5
BraTS2021_01552,F_proposed,proposed,0.9245472462906086,0.9530277040205012,0.9577428826758855,0.9065236427321514,0.9296045905662152,1209,410,1619,-45.67822265625,-11.802490234375,-766.359375,38815,0.14397190511226654,0.09621195495128632,0.9990473985671997,0.6630221009254456,2.1302517079748213,0.5,-0.5,0.5
BraTS2021_01552,E_random_00,random_gated,0.9320635382210999,0.9588628839965834,0.958561774831086,0.9073851859933376,0.9326701663485079,589,640,1229,-3.42431640625,6.14892578125,101.185546875,38815,0.14397190511226654,0.026986101642251015,0.9990473985671997,0.6630221009254456,3.3142894580960274,0.5,-0.5,0.5
BraTS2021_01552,E_random_01,random_gated,0.9318949547782747,0.9587760109251767,0.9582695252680205,0.9072232542892501,0.9324625781118484,569,653,1222,-20.4873046875,-5.97998046875,105.544921875,38815,0.14397190511226654,0.017358694225549698,0.9990473985671997,0.6630221009254456,3.3000521659851074,0.5,-0.5,0.5
BraTS2021_01552,E_random_02,random_gated,0.9314888491440919,0.9584774283393389,0.9583120856706028,0.9071670121087518,0.9323226489744822,703,587,1290,-1.8291015625,-2.13232421875,-19.400390625,38815,0.14397190511226654,0.007739597000181675,0.9990473985671997,0.6630221009254456,3.300593917025253,0.5,-0.5,0.5
BraTS2021_01552,E_random_03,random_gated,0.9288897072362626,0.9564872309631737,0.9578524516993191,0.906847220705573,0.9311964598803849,945,493,1438,-13.74365234375,-2.37109375,-337.48828125,38815,0.14397190511226654,0.038336798548698425,0.9990473985671997,0.6630221009254456,3.3041209999937564,0.5,-0.5,0.5
BraTS2021_01552,E_random_04,random_gated,0.9311948441905851,0.9582645492803928,0.9584713375796443,0.9072479564033709,0.9323047127245334,791,544,1335,9.041015625,-0.63330078125,-102.412109375,38815,0.14397190511226654,0.018468638882040977,0.9990473985671997,0.6630221009254456,3.30570916691795,0.5,-0.5,0.5
