case_id,alpha,perturbation_rms,edema_dice,wt_dice,tc_dice,et_dice,mean_fg_dice,hard_edema_voxels,soft_edema,soft_enhancing,soft_necrosis,soft_wt
BraTS2021_00165,-3,0.5303300619125366,0.9286711231911198,0.9569336778639336,0.951037678823391,0.8802171700037997,0.9199753240061034,7082,7844.16162109375,1605.2147216796875,974.9857177734375,10424.3623046875
BraTS2021_00165,-2,0.3535533845424652,0.9352818371607998,0.9623831267667089,0.948234349919847,0.8750000000004223,0.9195053956936897,6881,7217.04541015625,1606.965576171875,985.0845947265625,9809.095703125
BraTS2021_00165,-1,0.1767766922712326,0.9405610310841998,0.9661277906081788,0.9475580464372547,0.8725556304791889,0.9202249026668811,6659,6814.5029296875,1609.5079345703125,994.151611328125,9418.162109375
BraTS2021_00165,0,0.0,0.9424720831729361,0.9682724898594387,0.9449321628093676,0.8683680322368422,0.9185907594063819,6454,6513.70458984375,1612.7420654296875,1003.409423828125,9129.85546875
BraTS2021_00165,1,0.1767766922712326,0.9423453023547349,0.9692851928800218,0.9423000397931908,0.8657515902247548,0.9167989774575602,6252,6255.5537109375,1616.33642578125,1014.1385498046875,8886.0283203125
BraTS2021_00165,2,0.3535533845424652,0.936153295698548,0.9653254639350971,0.9393338620143946,0.8623792069314816,0.9126221215481415,6046,6007.55859375,1619.635986328125,1027.8271484375,8655.0224609375
BraTS2021_00165,3,0.5303300619125366,0.9279534244360573,0.9603716235591212,0.9349112426036786,0.8600795755972809,0.9076480808790056,5836,5745.931640625,1621.728759765625,1046.4326171875,8414.09375
BraTS2021_00165,4,0.7071067690849304,0.9168517147792443,0.9541529009447898,0.9305064782097948,0.8523290386526187,0.8998957438805526,5628,5445.07861328125,1621.57861328125,1072.7686767578125,8139.4267578125
BraTS2021_00165,6,1.0606601238250732,0.8678036533634597,0.9232705910562743,0.9214578054961577,0.8469184890661136,0.878726649308577,5020,4595.0361328125,1610.7216796875,1165.48095703125,7371.23876953125
BraTS2021_00165,8,1.4142135381698608,0.7411832723070522,0.8464010282777337,0.9093014280202445,0.8471060555374804,0.8325302519549257,3847,3236.984619140625,1582.572509765625,1339.310546875,6158.86767578125
BraTS2021_00165,12,2.1213202476501465,0.013686131388361182,0.4832657200815726,0.8881278538814914,0.8505190311423857,0.5841110054707461,45,538.498046875,1483.1258544921875,1685.556640625,3707.1806640625
BraTS2021_00165,16,2.8284270763397217,1.5311590874268395e-12,0.46496106785362795,0.8964313421258797,0.8578589330474119,0.5847634250582742,0,28.955068588256836,1359.1180419921875,1720.22509765625,3108.29833984375
BraTS2021_01552,-16,2.8284270763397217,0.035009381517550356,0.05407164357188572,0.17753120665837083,0.2823486103455138,0.16496306617381165,788592,755855.875,1080.18505859375,13.675849914550781,756949.75
BraTS2021_01552,-12,2.1213202476501465,0.08165400206317051,0.12381283004385651,0.4501670925894926,0.6537021031408042,0.3951743992644891,330085,419890.6875,2529.31982421875,233.08326721191406,422653.125
BraTS2021_01552,-8,1.4142135381698608,0.7079788979479245,0.8306735908419258,0.7899581589959757,0.8447627139217807,0.7808999236218935,25567,68336.3828125,3680.606689453125,1587.205810546875,73604.1953125
BraTS2021_01552,-6,1.0606601238250732,0.8381313359203929,0.9117825405123028,0.9013852695104229,0.8814302191466188,0.8736489415258116,19193,30269.61328125,4055.87255859375,2422.552734375,36748.0390625
BraTS2021_01552,-4,0.7071067690849304,0.9020496649586447,0.9438001004739873,0.9471282352174542,0.8964750361393344,0.9152176454384778,16394,19201.662109375,4310.1162109375,2936.8828125,26448.66015625
BraTS2021_01552,-3,0.5303300619125366,0.9192428808451836,0.9526621963675224,0.9550467591099935,0.9021032925890298,0.9254643108480689,15483,16896.234375,4388.8798828125,3084.57177734375,24369.6875
BraTS2021_01552,-2,0.3535533845424652,0.929739867328889,0.9586065481421486,0.9576543051456707,0.9051062897217783,0.9308334873987794,14743,15401.234375,4439.1884765625,3186.67919921875,23027.103515625
BraTS2021_01552,-1,0.1767766922712326,0.9325786700840337,0.9599414669837296,0.9583226796216068,0.9068268705626359,0.9325760734227587,14042,14300.17578125,4465.185546875,3263.31298828125,22028.673828125
BraTS2021_01552,0,0.0,0.9315488129536007,0.9585933331786962,0.9584395716471453,0.9072862129145863,0.9324248658384442,13371,13368.90625,4469.8828125,3330.97509765625,21169.763671875
BraTS2021_01552,1,0.1767766922712326,0.9232032241212317,0.952414555547726,0.9574292077633105,0.9055573752594109,0.9287299357146511,12748,12464.857421875,4454.630859375,3403.77587890625,20323.263671875
BraTS2021_01552,2,0.3535533845424652,0.9100698820025547,0.9427821522309848,0.9559244419004287,0.9035577449371609,0.9231840229467148,12137,11465.890625,4419.326171875,3495.43896484375,19380.658203125
BraTS2021_01552,3,0.5303300619125366,0.8850651651770347,0.9261771068815658,0.9540083852115653,0.9007247968373592,0.9132661157419864,11347,10249.0830078125,4362.8232421875,3619.72265625,18231.62890625
BraTS2021_01552,4,0.7071067690849304,0.845061197756828,0.901528351670259,0.9507780247697994,0.8978779840849934,0.8979057355372069,10379,8720.419921875,4283.517578125,3786.42578125,16790.36328125
BraTS2021_01552,6,1.0606601238250732,0.41747354199537406,0.6846002269064059,0.9398601398601781,0.8889892715980925,0.7487743178178815,3714,5036.130859375,4053.41552734375,4212.564453125,13302.111328125
BraTS2021_01552,8,1.4142135381698608,0.15544177497757944,0.5794651785427634,0.9226866239614875,0.8764903345296023,0.6515395778228897,1184,2243.8876953125,3743.1103515625,4597.43359375,10584.431640625
BraTS2021_01552,12,2.1213202476501465,0.03866824876175147,0.5354802222297697,0.8653699466057301,0.8190286920881642,0.5743556291518819,277,388.6568908691406,2976.01220703125,5083.44873046875,8448.1181640625
BraTS2021_01552,16,2.8284270763397217,7.117437722414863e-13,0.47125438566037753,0.7720702992469485,0.6405342624860039,0.47086818724455465,0,32.5545654296875,2073.20654296875,5211.58935546875,7317.35107421875
